id,priority,claim,location,status,evidence_needed,next_action,owner
E01,P1,$100M+ incremental revenue vs ARR vs product revenue,src/index.html and both expert articles,removed_pending_author_evidence,Period baseline attribution method overlap and permission to publish,Financial claims removed from home hub metadata and expert guides; publish only after precise approved attribution,Roman
E02,P1,P&L responsibility across Yandex Semrush ivi Yota,Both articles my-take,removed_pending_author_evidence,Role scope dates and permissible proof,Unsupported P&L account removed; requires approved case,Roman
E03,P1,Yandex then Semrush then ivi then Yota,Both article introductions,removed_sequence,Author approved career chronology,Career sequence removed from expert introductions,Roman
E04,P1,5–7 interviews within 48 hours,Both articles my-take,removed_unsupported_precision,Specific case research question sampling and limits,Interview count and 48-hour promise removed,Roman
E05,P1,Direct quotation attributed to Arkady Moreynis,Both articles moreynis,replaced_editorial_question,Original publication with exact quotation,Direct quotation removed in RU/EN; own question explicitly labeled,Editor
E06,P2,Current positions and biographical details of 15 experts,Both articles body and JSON-LD,rewritten_source_led,Official bio or employer page with access date,All 15 sections link to author projects; removed current job titles employer chains and superlatives; Doshi site has limited extractable text so no specific framework attribution,Editor
E07,P1,AJTBD is a churn interview technique,Both articles zamesin and FAQ,corrected_locally,AJTBD author canon,Keep broad methodological scope and cohort vs segment distinction,Completed
E08,P1,Additional product and career claims in independent AI summary,Former public/llms-full.txt,removed_as_independent_summary,Same visible HTML as reader sees,Maintain generated export; visible claims still need evidence,Completed
E09,P2,Encryption privacy platform requirements and free pricing,SheSafe HTML and MobileApplication JSON-LD,markup_narrowed,Current app behavior App Store and approved privacy specification,Removed unverified price iOS minimum and encryption claims from JSON-LD; current App Store availability and release behavior remain owner checks,Product owner
E10,P2,7+ years experience,Homepage hub articles,unverified_author_claim,Author approved employment dates,Maintain by actual timeline rather than build date,Roman
